Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes
100,100,100,100,99.3,86.8,96,100
98.5,99.5,98.2,93.9,100,99.6,97.4,93.4
100,100,100,84.8,98.1,97.7,100,100
100,100,96.3,100,74.1,69,99.6,100
100,100,100,84.6,100,94.8,99.3,100
100,100,100,99,70.3,60.8,96.8,100
98.8,87.2,65.9,97.9,100,98.6,95.7,90.5
99.5,91.1,68.8,93.1,100,88.9,91.6,100
99.5,98.3,95.9,72.2,99,100,99.9,70.3
96.5,95.3,100,100,100,79.8,65.5,31
96.3,91.9,99.8,74,90.9,66.2,91.9,100
100,100,23.5,98.2,91.5,61,97.2,98.4
98.5,93.9,15.4,93,95.1,99.8,97.4,96.5
99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2
91.9,73.3,80.6,92.4,100,83.5,89.4,83.9
98.3,93.1,52.7,97.5,54.2,63.4,94,97.1
97.4,59.4,81.2,86.4,100,99.3,81.4,99.7
96.4,90,10.9,93.7,99.9,100,95.8,93.1
90.5,90.4,20.6,94.9,100,99.4,98.3,97.7
99.2,97.7,95,99.1,18.1,13.4,79.2,92.3
99.1,96.4,94.2,60.8,79,87,85.1,99.1
99.8,98.3,57,100,9.6,56.6,78.3,95.7
99.9,99.9,100,38.6,91.5,63.3,93.9,98.5
74.4,97.6,98.1,87.6,62.3,65,99.8,97.1
99.7,96.9,44.9,50.8,96.9,96.1,97.7,98.7
84.2,67.2,91.2,93.6,100,100,81.7,27.2
98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9
83,98.6,76.8,75.9,80.4,98.6,95.6,34.5
94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3
93.8,75.4,34.6,84.6,100,96.2,91.4,56.6
98.5,98.6,83.1,71.7,10.5,16.9,73.2,100
100,99.8,89.3,57.3,10.1,29.7,87.4,99.9
86,62.6,100,84.2,63.7,95.8,98.7,71.5
95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6
99.6,98.8,100,31.7,41.5,97,98.5,99.9
86.7,53.3,64.2,92.9,100,87.5,74.2,89
89.2,79.6,9.4,87.6,100,100,94.8,79.4
98.3,94.3,34.5,57.7,95.5,72.8,96.2,74.6
85.7,87.8,79.7,80.7,88.4,35.1,67.2,64.4
86.7,74,21.2,90.2,100,100,96.7,56.7
90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8
100,99.8,35.4,74,42.2,22.3,95.5,94.7
96.3,98.8,90.5,28.6,30.2,98.1,92.6,98.4
97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5
84,86.3,58.6,99.6,23.1,19.6,73.7,73.5
44.7,99.6,95.9,86.1,99.1,98,89.6,97.7
81.1,50.3,56.7,99.7,100,95.4,46.7,65.4
75.3,95.4,54.7,99.5,95,15.9,91.8,55.5
74.4,83,39.4,79.7,100,91.4,93.7,54.8
67.2,97,35.1,69.4,100,100,81.2,99.6
98.8,99,94.2,39.3,15.9,19,85.7,72.8
84,68,97.6,67.7,45.4,52,89.4,96.8
87.7,91,60.2,96.2,21.1,10.9,46.8,63.3
75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2
83.8,52.1,21.4,92.2,96,87.5,96.3,79.8
81.5,97,84.2,44.1,20.7,51.2,78.7,87.8
68,35.6,65,94.9,100,91.9,78.9,64.5
69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5
92.2,86.6,38.5,50,75.1,37.6,95.5,66.9
82.9,95.1,75.7,29.1,60.2,64.2,91.8,69.3
86,74.7,100,35.1,16.3,61,93.3,85.5
60.9,30.8,89.5,100,100,100,62.9,37.5
87.2,52,43,72.3,33.8,46.7,99.8,79.7
84.6,49.6,7.1,91,93.8,47.7,99.5,75.3
82.2,44.7,15.5,66.9,100,84,87.4,92.9
93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7
78.2,93.8,73,45,15.2,45.7,65.7,89
93.4,92.1,25.5,44.3,16.7,27.4,71.5,99.9
72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7
83.9,75.7,6.4,77.5,14,56.3,90.4,81.7
94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8
89.3,57.8,50.8,67,54.6,44.3,95.5,21.7
60.7,99.1,99.8,35,35.7,58.6,98.6,70.8
45.2,55.6,62.3,86.1,92,65.9,91.1,62.4
68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5
81.9,55.5,28.6,78.8,11,32.8,95.6,68.7
55.5,41.8,13.1,98.8,100,99.8,94.2,78
