Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
Massachusetts Institute of Technology (MIT) ,100,100,100,100,99.3,86.8,96,100,92.4,97.3,73.4,83.6,95.2,87.3,99.7,90.7,90.9,98.1,98.2,5
Imperial College London,98.5,99.5,98.2,93.9,100,99.6,97.4,93.4,96.3,98.2,83.4,94.2,100,79.2,99.6,100,95.1,96.6,98.2,5
University of Oxford,100,100,100,84.8,98.1,97.7,100,100,88.7,77.2,39.4,76.7,90,89.7,99.7,80.1,62.9,82.6,82.9,5
Harvard University,100,100,96.3,100,74.1,69,99.6,100,88.2,76.9,39,79,89.4,88.4,99.1,75.7,62.1,82.5,83,5
University of Cambridge,100,100,100,84.6,100,94.8,99.3,100,88.7,77.2,37.9,79.3,86.7,89.7,99.8,79.9,62.7,82.6,82.9,5
Stanford University,100,100,100,99,70.3,60.8,96.8,100,87.7,74.5,36.6,78.4,86.6,88.4,100,75.7,54.6,82.2,83.1,5
ETH Zurich - Swiss Federal Institute of Technology,98.8,87.2,65.9,97.9,100,98.6,95.7,90.5,95.1,89.8,88.2,85.1,99.9,92.3,96.1,99,86.9,93.5,83.7,5
National University of Singapore (NUS),99.5,91.1,68.8,93.1,100,88.9,91.6,100,91.7,91.2,68.6,73.6,98.5,91.3,99.7,94.4,95.6,77.2,100,5
UCL,99.5,98.3,95.9,72.2,99,100,99.9,70.3,86.8,69,40.3,77.2,90.4,80.2,98.6,80.1,54.4,68,82.8,5
California Institute of Technology (Caltech),96.5,95.3,100,100,100,79.8,65.5,31,73.2,69.9,56.6,69.3,67.3,43,92.5,92.2,43.1,70,97.1,5
University of Pennsylvania,96.3,91.9,99.8,74,90.9,66.2,91.9,100,88.9,83.7,59,86,85,86.8,99.4,75.3,82.6,84.7,79.2,5
"University of California, Berkeley (UCB)",100,100,23.5,98.2,91.5,61,97.2,98.4,98.1,100,92.5,98.7,99.8,87.3,99.4,95.6,96.6,100,98.4,5
The University of Melbourne,98.5,93.9,15.4,93,95.1,99.8,97.4,96.5,97.9,93.7,88.5,90.5,99.1,98.1,99.4,98.2,100,85.3,92.3,5
Peking University,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,79,59.1,31.8,58.7,89.3,79.6,95.9,65.8,20.9,76.1,78.7,5
"Nanyang Technological University, Singapore (NTU)",91.9,73.3,80.6,92.4,100,83.5,89.4,83.9,90.5,85.3,71.4,83.7,86.3,89.6,97.6,93.6,79.3,76.4,99.5,5
Cornell University,98.3,93.1,52.7,97.5,54.2,63.4,94,97.1,84.7,71.1,31.3,79.1,76.3,87.4,98.2,75.7,55.8,72.6,82.8,5
The University of Hong Kong,97.4,59.4,81.2,86.4,100,99.3,81.4,99.7,86.4,75.8,77.7,83.2,89.2,73.1,95.4,79.9,53.2,76.1,98,5
The University of Sydney,96.4,90,10.9,93.7,99.9,100,95.8,93.1,100,90.7,98.2,99.1,96.5,100,99.1,97.8,84.5,90.9,92.2,5
The University of New South Wales (UNSW Sydney),90.5,90.4,20.6,94.9,100,99.4,98.3,97.7,98.4,87.1,97.3,96.6,99.7,90,99,98.2,85.4,80.9,92.4,5
Tsinghua University,99.2,97.7,95,99.1,18.1,13.4,79.2,92.3,77.1,57.1,30.7,54,87.3,79.2,95.4,65.8,23.7,67.4,78.7,5
